1,Bike,110,HA110-0477,HAD Original /one size,Bear - BM,100%Polyester,5,S/S,6.65 €,4.87 €,14.95 €,0, €  -   ,,
2,Junior,110,HA110-0475,HAD Original /one size,Badaboom - Junior - JM,100%Polyester,6,S/S,6.65 €,4.87 €,14.95 €,0, €  -   ,,
3,Outdoor,110,HA110-0470,HAD Original /one size,Mountain's Calling - OM,100%Polyester,6,S/S,6.65 €,4.87 €,14.95 €,0, €  -   ,,
4,Urban,110,HA110-0472,HAD Original /one size,Howdy - UM,100%Polyester,6,S/S,6.65 €,4.87 €,14.95 €,0, €  -   ,,
5,Artist Design,110,HA110-0219,HAD Original / one size,Japo,100%Polyester,7,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
6,Artist Design,110,HA110-0220,HAD Original / one size,ML-Barrel King,100%Polyester,7,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
7,Artist Design,110,HA110-0252,HAD Original / one size,Patrick Seabase ,100%Polyester,7,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
8,Solid Colours,100,HA100-0001,HAD Solid colours / one size,White,100%Polyester,9,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
9,Solid Colours,100,HA100-0004,HAD Solid colours / one size,Grass,100%Polyester,9,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
10,Solid Colours,100,HA100-0015,HAD Solid colours / one size,Berry ,100%Polyester,9,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
11,Solid Colours,100,HA100-0018,HAD Solid colours / one size,Grey,100%Polyester,9,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
12,Urban,110,HA110-0415,HAD Original / one size,Twister ,100%Polyester,11,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
13,Urban,110,HA110-0436,HAD Original / one size,Water Colour Pink ,100%Polyester,13,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
14,Urban,110,HA110-0419,HAD Original / one size,Mali ,100%Polyester,13,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
15,Urban,110,HA110-0425,HAD Original / one size,Nebula,100%Polyester,13,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
16,Urban,110,HA110-0438,HAD Original / one size,Water Colour Black ,100%Polyester,13,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
17,Urban,110,HA110-0346,HAD Original / one size,Lost blue,100%Polyester,14,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
18,Urban,110,HA110-0349,HAD Original / one size,Smoke,100%Polyester,14,NOS,6.65 €,4.87 €,14.95 €,8, €  38.96 ,,
